Month_Year,EL_Solar_BusBarn_Total_KW,non_zero_count,GHI,non_zero_count_ghi,Average_KW,Average_GHI,Conversion_Efficiency
2013-10,2972.703124878,31,98304,31,95.8936491896129,3171.0967741935483,0.12185067728791603
2013-11,2010.19281666,30,66197,30,67.006427222,2206.5666666666666,0.12236212379055512
2013-12,728.787205772,30,48522,31,24.292906859066665,1565.225806451613,0.06253887764450722
2014-01,1394.39154599,31,63436,31,44.98037245129032,2046.3225806451612,0.08857201972820145
2014-02,1302.185395113,27,87035,28,48.229088707888884,3108.3928571428573,0.06252025650730184
2014-03,3548.70999281,31,129944,31,114.47451589709678,4191.741935483871,0.11004286165388741
2014-04,3970.30282127,30,142908,30,132.34342737566666,4763.6,0.11194757453354472
2014-05,4851.34491487,31,177117,31,156.49499725387096,5713.451612903225,0.11036960864900444
2014-06,4711.71872062,30,174108,30,157.05729068733334,5803.6,0.10904562019348173
2014-07,5553.471914629999,31,205534,31,179.14425531064515,6630.129032258064,0.1088750839864671
2014-08,4227.13910135,31,158975,31,136.35932584999998,5128.225806451613,0.1071433702305108
2014-09,4183.64678339,30,143073,30,139.45489277966666,4769.1,0.11782702833377269
2014-10,2860.06147114,31,96801,31,92.26004745612903,3122.6129032258063,0.11905376142500136
2014-11,1580.905952903,30,62796,30,52.69686509676667,2093.2,0.1014428989262134
2014-12,1108.673256553,31,41026,31,35.763653437193554,1323.4193548387098,0.10889100181598194
2015-01,1371.18918681,30,59594,31,45.706306227,1922.3870967741937,0.09580383183281135
2015-02,1699.29621095,26,86425,28,65.357546575,3086.6071428571427,0.08532218755608956
2015-03,3947.4623052,31,139438,31,127.33749371612903,4498.0,0.11407341525925803
2015-04,4526.68006151,30,160667,30,150.88933538366666,5355.566666666667,0.11352740562869977
2015-05,4646.76499367,31,170663,31,149.89564495709678,5505.258064516129,0.1097132122658264
2015-06,4655.85115492,30,176268,30,155.19503849733334,5875.6,0.10643224142408128
2015-07,5042.77439429,31,191735,31,162.67014175129032,6185.0,0.10597800471890426
2015-08,4838.45407973,31,175732,31,156.07916386225804,5668.774193548387,0.1109438848985432
2015-09,4378.52387345,30,151476,30,145.95079578166667,5049.2,0.11647467069110391
2015-10,2927.11515917,31,99401,31,94.42306965064516,3206.483870967742,0.11865789860448067
2015-11,1722.907241934,30,66039,30,57.4302413978,2201.3,0.10512572542469853
2015-12,914.396491771,31,40387,31,29.496661024870967,1302.8064516129032,0.09123060486193214
2016-01,1413.139363992,31,59978,31,45.585140773935485,1934.774193548387,0.09493811658299989
2016-02,2080.094825542,29,76004,29,71.72740777731033,2620.8275862068967,0.11027937138530551
2016-03,2946.24089274,31,105712,31,95.04002879806453,3410.064516129032,0.11230305254285573
2016-04,3814.82237969,30,143074,30,127.16074598966667,4769.133333333333,0.10743881265247889
2016-05,5058.82665792,31,192386,31,163.18795670709676,6206.0,0.10595560384058426
2016-06,6382.6874982,30,236393,30,212.75624994,7879.766666666666,0.10879691148494397
2016-07,5077.86726235,31,188732,31,163.8021697532258,6088.129032258064,0.10841350850224292
2016-08,4894.40358192,31,177102,31,157.8839865135484,5712.967741935484,0.1113586376815374
2016-09,4165.11626626,30,142003,30,138.83720887533335,4733.433333333333,0.11818904050295984
2016-10,2906.22512332,31,99824,31,93.74919752645161,3220.1290322580644,0.11731184955760833
