daily_avg,Date
10.66069193,9/30/21 0:00
21.91043052,8/30/21 0:00
9.484668184,6/30/21 0:00
12.62381712,6/7/21 0:00
15.65604427,7/4/21 0:00
5.508392614,9/14/21 0:00
20.59581132,6/15/21 0:00
13.276184,6/5/21 0:00
10.10224736,6/8/21 0:00
29.92575165,6/26/21 0:00
23.89170059,9/7/21 0:00
26.78228959,9/12/21 0:00
23.93255455,7/20/21 0:00
12.8474568,6/6/21 0:00
13.35172946,7/1/21 0:00
27.62925621,6/17/21 0:00
6.530075422,9/19/21 0:00
7.640087253,8/13/21 0:00
6.602660136,12/12/20 0:00
27.8586819,8/7/21 0:00
24.52214243,6/25/21 0:00
6.214832093,8/8/21 0:00
8.929606756,7/22/21 0:00
16.65702628,7/7/21 0:00
16.06910627,8/18/21 0:00
0.767839618,1/16/17 0:00
26.1027663,7/21/21 0:00
4.922864173,9/20/21 0:00
7.182924816,8/23/21 0:00
10.83880259,6/9/21 0:00
37.82966836,11/25/20 0:00
18.84949208,7/27/21 0:00
7.955436198,7/26/21 0:00
6.028745268,8/29/21 0:00
15.15854797,6/12/21 0:00
13.98398869,7/5/21 0:00
22.11851545,6/19/21 0:00
8.016571885,7/23/21 0:00
21.76850087,8/26/21 0:00
6.1501109,8/21/21 0:00
8.961517137,8/20/21 0:00
6.26932547,8/9/21 0:00
17.09653948,8/25/21 0:00
20.2029504,8/19/21 0:00
7.188927517,7/25/21 0:00
3.553080106,8/12/21 0:00
11.94270058,6/10/21 0:00
2.854142319,12/28/19 0:00
12.48645558,7/6/21 0:00
8.917903876,8/27/21 0:00
25.95235948,7/28/21 0:00
10.95655415,6/11/21 0:00
0.505968772,12/25/16 0:00
7.12740261,8/28/21 0:00
8.272890892,8/11/21 0:00
7.724663899,7/24/21 0:00
0.887925825,1/2/17 0:00
9.528035997,6/18/21 0:00
7.320346301,8/24/21 0:00
6.301864306,8/10/21 0:00
9.569564558,7/29/21 0:00
23.59595134,1/17/20 0:00
1.264558907,12/20/18 0:00
0.303095746,11/14/20 0:00
2.399208271,9/27/20 0:00
27.15030272,11/10/20 0:00
1.424239726,3/9/20 0:00
0.890088931,1/25/17 0:00
0.397511136,11/11/12 0:00
0.769937999,12/30/11 0:00
0.264176372,11/30/19 0:00
1.069369767,12/30/19 0:00
1.323168399,11/2/11 0:00
5.784171906,10/5/19 0:00
22.66222845,12/28/18 0:00
0.522936841,12/15/14 0:00
0.738179605,1/10/20 0:00
1.630713589,9/29/19 0:00
20.17323923,11/4/18 0:00
29.8942484,12/9/19 0:00
0.764635454,12/4/13 0:00
7.692353701,12/24/20 0:00
4.225202852,1/13/18 0:00
1.05323153,1/15/16 0:00
17.81534456,12/15/18 0:00
8.443834331,12/25/20 0:00
1.046692506,1/21/15 0:00
3.458365391,12/17/18 0:00
0.433926489,12/7/20 0:00
1.590165701,12/23/16 0:00
0.682861513,12/8/20 0:00
3.449652525,12/9/20 0:00
0.965923928,12/9/12 0:00
3.800214632,1/9/19 0:00
3.773992998,12/1/20 0:00
3.910696639,12/4/20 0:00
0.582338396,12/21/18 0:00
0.762229863,12/8/14 0:00
21.22304392,12/1/19 0:00
23.4102778,1/10/19 0:00
3.923772688,11/28/20 0:00
0.057040002,12/28/15 0:00
1.222145891,1/10/17 0:00
1.021661322,11/21/19 0:00
0.029033057,12/5/16 0:00
37.06443165,12/30/18 0:00
3.622416258,1/4/19 0:00
7.907767045,12/26/20 0:00
0.752058727,11/26/19 0:00
3.590355597,1/3/19 0:00
9.593255814,12/13/18 0:00
1.292922401,1/11/20 0:00
31.77722768,12/6/19 0:00
1.469779556,1/1/18 0:00
0.356169363,3/5/18 0:00
3.505056311,12/3/19 0:00
0.766090284,12/24/14 0:00
3.860969014,11/24/18 0:00
14.72897876,1/6/18 0:00
0.233062511,11/26/15 0:00
32.52507198,9/11/20 0:00
0.701099065,12/15/12 0:00
3.994307175,12/4/19 0:00
0.590979029,4/17/13 0:00
8.936837083,1/10/12 0:00
35.76443421,1/5/18 0:00
28.43102102,12/13/17 0:00
3.234892995,12/3/20 0:00
1.211609133,2/4/12 0:00
3.42137607,12/6/18 0:00
4.016760025,1/8/19 0:00
21.71967318,1/12/19 0:00
2.058673493,12/26/19 0:00
3.395168693,12/2/20 0:00
11.85056851,10/16/18 0:00
3.396498756,12/5/18 0:00
3.246240757,12/21/19 0:00
17.05892345,10/7/18 0:00
10.71620383,11/10/16 0:00
16.59504431,9/21/19 0:00
1.354988952,11/19/11 0:00
2.69077894,11/17/18 0:00
10.15513826,12/28/14 0:00
0.066342711,12/11/16 0:00
0.537050201,11/23/14 0:00
4.408023336,11/13/18 0:00
32.58854854,12/5/19 0:00
0.487559397,12/20/13 0:00
1.065616901,1/24/17 0:00
1.739678904,1/2/18 0:00
1.856939476,10/6/17 0:00
0.868437411,12/1/12 0:00
4.226802164,11/14/18 0:00
11.99232278,10/15/18 0:00
10.37471884,1/18/15 0:00
10.32980328,11/19/16 0:00
26.6279883,1/8/18 0:00
21.7977567,12/23/18 0:00
8.407117887,12/29/11 0:00
11.56355889,10/15/20 0:00
9.438232625,12/26/16 0:00
0.489321899,10/30/13 0:00
9.273420155,1/27/18 0:00
9.27256152,1/7/17 0:00
29.7645252,10/17/18 0:00
40.99813576,12/20/20 0:00
9.581950435,11/24/13 0:00
47.55048539,11/7/19 0:00
29.87526039,1/5/19 0:00
8.621596245,12/4/12 0:00
8.700795406,11/30/17 0:00
4.44321436,11/13/20 0:00
9.010040403,1/9/12 0:00
4.156068008,11/15/18 0:00
1.486367367,1/3/15 0:00
11.87247436,10/23/18 0:00
3.491533405,12/5/20 0:00
13.34827907,10/4/18 0:00
15.45750852,12/26/18 0:00
9.700945881,2/1/18 0:00
7.579258684,12/21/20 0:00
0.979243535,12/22/14 0:00
10.83015547,11/21/16 0:00
4.112694304,11/22/18 0:00
24.31114292,1/2/20 0:00
10.56778551,11/13/13 0:00
9.412714748,2/2/18 0:00
7.863243169,10/19/20 0:00
1.160246516,9/5/18 0:00
25.63048343,12/21/17 0:00
4.039533732,11/30/20 0:00
24.7958287,4/14/18 0:00
0.849013243,12/28/12 0:00
9.251359472,12/27/16 0:00
22.1394551,1/16/20 0:00
0.716920034,1/29/13 0:00
32.0118627,10/21/18 0:00
9.148087104,11/25/17 0:00
10.64522001,12/4/15 0:00
2.555485437,12/27/17 0:00
9.233319417,1/10/16 0:00
2.967656634,1/12/18 0:00
8.911463495,1/14/13 0:00
3.217141567,12/10/20 0:00
8.573098737,12/25/11 0:00
9.109375444,11/23/17 0:00
27.42102502,2/20/20 0:00
0.935049456,10/25/20 0:00
11.96562144,10/20/18 0:00
10.40746894,12/3/14 0:00
9.978300453,11/13/16 0:00
8.31905372,12/18/11 0:00
1.536651636,12/1/16 0:00
3.449074464,12/18/18 0:00
5.129923506,11/3/20 0:00
0.476878278,11/17/15 0:00
9.744419548,11/20/17 0:00
1.441242674,10/25/12 0:00
11.21508198,10/31/12 0:00
4.019116695,12/22/19 0:00
9.720847601,1/4/17 0:00
8.388613639,12/12/12 0:00
10.03514715,11/19/15 0:00
8.965413743,11/24/17 0:00
26.97518146,12/12/17 0:00
20.73237623,12/10/18 0:00
1.557405073,10/23/15 0:00
8.547744371,12/1/17 0:00
8.219498123,12/16/17 0:00
10.71764715,11/13/15 0:00
10.36208028,11/9/16 0:00
10.24388233,12/31/14 0:00
0.944792938,2/23/12 0:00
11.44119889,11/3/16 0:00
28.00920286,11/11/20 0:00
36.4993043,2/16/18 0:00
8.893383756,11/28/13 0:00
25.48266788,11/14/17 0:00
1.188579689,11/27/11 0:00
9.317563763,11/29/11 0:00
9.277163773,12/2/11 0:00
8.474447075,12/16/11 0:00
10.73123866,11/9/15 0:00
9.474058776,1/21/13 0:00
32.93225155,10/18/18 0:00
8.837947084,1/18/18 0:00
16.88399817,11/18/18 0:00
3.71293322,12/27/19 0:00
32.99735672,10/22/18 0:00
1.017403751,11/20/13 0:00
36.75235018,1/25/18 0:00
21.49967933,3/18/20 0:00
