daily_avg,Date,GHI
8.929606756,2021-07-22,356.93333333333334
16.65702628,2021-07-07,450.55555555555554
16.06910627,2021-08-18,477.1875
0.767839618,2017-01-16,40.333333333333336
26.1027663,2021-07-21,245.0952380952381
4.922864173,2021-09-20,373.9090909090909
7.182924816,2021-08-23,421.1
10.83880259,2021-06-09,425.7857142857143
37.82966836,2020-11-25,8.7
18.84949208,2021-07-27,461.0
7.955436198,2021-07-26,347.85714285714283
6.028745268,2021-08-29,328.8333333333333
15.15854797,2021-06-12,458.4375
13.98398869,2021-07-05,406.3333333333333
22.11851545,2021-06-19,507.5
8.016571885,2021-07-23,315.92857142857144
21.76850087,2021-08-26,250.26315789473685
6.1501109,2021-08-21,378.6923076923077
8.961517137,2021-08-20,389.1538461538461
6.26932547,2021-08-09,337.53846153846155
17.09653948,2021-08-25,483.6428571428572
20.2029504,2021-08-19,261.4736842105263
7.188927517,2021-07-25,385.3571428571428
3.553080106,2021-08-12,361.0
11.94270058,2021-06-10,391.3571428571428
2.854142319,2019-12-28,30.0
12.48645558,2021-07-06,390.5
8.917903876,2021-08-27,394.38461538461536
25.95235948,2021-07-28,257.1904761904762
10.95655415,2021-06-11,425.1428571428572
0.505968772,2016-12-25,11.0
7.12740261,2021-08-28,347.8333333333333
8.272890892,2021-08-11,366.07142857142856
7.724663899,2021-07-24,360.2857142857143
0.887925825,2017-01-02,41.6
9.528035997,2021-06-18,380.7857142857143
7.320346301,2021-08-24,366.5833333333333
6.301864306,2021-08-10,350.61538461538464
9.569564558,2021-07-29,304.57142857142856
23.59595134,2020-01-17,12.933333333333334
1.264558907,2018-12-20,36.42857142857143
0.303095746,2020-11-14,28.0
2.399208271,2020-09-27,30.55555555555556
27.15030272,2020-11-10,21.666666666666668
1.424239726,2020-03-09,36.77777777777778
0.890088931,2017-01-25,39.833333333333336
0.397511136,2012-11-11,46.66666666666666
0.769937999,2011-12-30,14.0
0.264176372,2019-11-30,32.2
1.069369767,2019-12-30,38.0
1.323168399,2011-11-02,56.5
5.784171906,2019-10-05,30.63636363636364
22.66222845,2018-12-28,18.33333333333333
0.522936841,2014-12-15,40.8
0.738179605,2020-01-10,52.333333333333336
1.630713589,2019-09-29,40.54545454545455
20.17323923,2018-11-04,23.285714285714285
29.8942484,2019-12-09,29.357142857142858
0.764635454,2013-12-04,58.75
7.692353701,2020-12-24,313.375
4.225202852,2018-01-13,292.2
1.05323153,2016-01-15,47.285714285714285
17.81534456,2018-12-15,151.6875
8.443834331,2020-12-25,268.0
1.046692506,2015-01-21,48.66666666666666
3.458365391,2018-12-17,297.125
0.433926489,2020-12-07,50.66666666666666
1.590165701,2016-12-23,71.75
0.682861513,2020-12-08,62.42857142857143
3.449652525,2020-12-09,302.125
0.965923928,2012-12-09,46.833333333333336
3.800214632,2019-01-09,293.8888888888889
3.773992998,2020-12-01,338.0
3.910696639,2020-12-04,250.6
0.582338396,2018-12-21,51.71428571428572
0.762229863,2014-12-08,49.0
21.22304392,2019-12-01,27.785714285714285
23.4102778,2019-01-10,168.8125
3.923772688,2020-11-28,297.44444444444446
1.222145891,2017-01-10,66.2
1.021661322,2019-11-21,57.66666666666666
37.06443165,2018-12-30,105.0
3.622416258,2019-01-04,273.0
7.907767045,2020-12-26,296.625
0.752058727,2019-11-26,76.5
3.590355597,2019-01-03,302.375
9.593255814,2018-12-13,39.90909090909091
1.292922401,2020-01-11,54.85714285714285
31.77722768,2019-12-06,163.375
1.469779556,2018-01-01,62.0
0.356169363,2018-03-05,52.57142857142857
3.505056311,2019-12-03,302.875
0.766090284,2014-12-24,53.2
3.860969014,2018-11-24,285.77777777777777
14.72897876,2018-01-06,160.5
32.52507198,2020-09-11,35.5
0.701099065,2012-12-15,57.0
3.994307175,2019-12-04,252.7
0.590979029,2013-04-17,96.0
8.936837083,2012-01-10,289.44444444444446
35.76443421,2018-01-05,99.54545454545456
28.43102102,2017-12-13,14.761904761904765
3.234892995,2020-12-03,317.0
1.211609133,2012-02-04,54.25
3.42137607,2018-12-06,308.125
4.016760025,2019-01-08,257.2
21.71967318,2019-01-12,22.444444444444443
2.058673493,2019-12-26,57.42857142857143
3.395168693,2020-12-02,323.875
11.85056851,2018-10-16,436.9
3.396498756,2018-12-05,318.5
3.246240757,2019-12-21,289.25
17.05892345,2018-10-07,36.142857142857146
10.71620383,2016-11-10,361.3333333333333
16.59504431,2019-09-21,26.94736842105263
1.354988952,2011-11-19,65.16666666666667
2.69077894,2018-11-17,9.333333333333334
10.15513826,2014-12-28,308.25
0.537050201,2014-11-23,73.25
4.408023336,2018-11-13,363.55555555555554
32.58854854,2019-12-05,142.2941176470588
0.487559397,2013-12-20,63.0
1.065616901,2017-01-24,62.0
1.739678904,2018-01-02,28.0
1.856939476,2017-10-06,74.375
0.868437411,2012-12-01,58.57142857142857
4.226802164,2018-11-14,347.77777777777777
11.99232278,2018-10-15,466.4
10.37471884,2015-01-18,317.0
10.32980328,2016-11-19,372.625
26.6279883,2018-01-08,160.0
21.7977567,2018-12-23,150.33333333333334
8.407117887,2011-12-29,300.25
11.56355889,2020-10-15,461.5
9.438232625,2016-12-26,304.125
0.489321899,2013-10-30,56.0
9.273420155,2018-01-27,350.8888888888889
9.27256152,2017-01-07,299.6666666666667
